"id","parametre_id","nom","alteration_id","nom","valeur","libelle","borne_inf_incluse","borne_sup_incluse","borne_inf","borne_sup","unite_mesure_code","libelle","norme"
"10231","1301","Température de l'Eau","0","TEMP","1","Bleu","t","f","\N","24","27","degré Celsius","DCE"
"10232","1301","Température de l'Eau","0","TEMP","2","Vert","t","f","24","25.5","27","degré Celsius","DCE"
"10233","1301","Température de l'Eau","0","TEMP","3","Jaune","t","f","25.5","27","27","degré Celsius","DCE"
"10234","1301","Température de l'Eau","0","TEMP","4","Orange","t","f","27","28","27","degré Celsius","DCE"
"10235","1301","Température de l'Eau","0","TEMP","5","Rouge","t","f","28","\N","27","degré Celsius","DCE"
"10236","1302","Potentiel en Hydrogène (pH)","1","ACID","5","Rouge","f","t","\N","4.5","264","unité pH","DCE"
"10237","1302","Potentiel en Hydrogène (pH)","1","ACID","4","Orange","f","t","4.5","5.5","264","unité pH","DCE"
"10238","1302","Potentiel en Hydrogène (pH)","1","ACID","3","Jaune","f","t","5.5","6","264","unité pH","DCE"
"10239","1302","Potentiel en Hydrogène (pH)","1","ACID","2","Vert","f","t","6.5","6.5","264","unité pH","DCE"
"10240","1302","Potentiel en Hydrogène (pH)","1","ACID","1","Bleu","t","f","6","8.1999999999999993","264","unité pH","DCE"
"10241","1302","Potentiel en Hydrogène (pH)","1","ACID","2","Vert","t","f","8.1999999999999993","9","264","unité pH","DCE"
"10242","1302","Potentiel en Hydrogène (pH)","1","ACID","3","Jaune","t","f","9","9.5","264","unité pH","DCE"
"10243","1302","Potentiel en Hydrogène (pH)","1","ACID","4","Orange","t","f","9.5","10","264","unité pH","DCE"
"10244","1302","Potentiel en Hydrogène (pH)","1","ACID","5","Rouge","t","f","10","\N","264","unité pH","DCE"
"10245","1311","Oxygène dissous","2","BILO2","1","Bleu","f","t","8","\N","175","milligramme d'oxygène par litre","DCE"
"10246","1311","Oxygène dissous","2","BILO2","2","Vert","f","t","6","8","175","milligramme d'oxygène par litre","DCE"
"10247","1311","Oxygène dissous","2","BILO2","3","Jaune","f","t","4","6","175","milligramme d'oxygène par litre","DCE"
"10248","1311","Oxygène dissous","2","BILO2","4","Orange","f","t","3","4","175","milligramme d'oxygène par litre","DCE"
"10249","1311","Oxygène dissous","2","BILO2","5","Rouge","f","t","\N","3","175","milligramme d'oxygène par litre","DCE"
"10250","1312","Taux de saturation en oxygène","2","BILO2","1","Bleu","f","t","90","\N","243","pourcentage","DCE"
"10251","1312","Taux de saturation en oxygène","2","BILO2","2","Vert","f","t","70","90","243","pourcentage","DCE"
"10252","1312","Taux de saturation en oxygène","2","BILO2","3","Jaune","f","t","50","70","243","pourcentage","DCE"
"10253","1312","Taux de saturation en oxygène","2","BILO2","4","Orange","f","t","30","50","243","pourcentage","DCE"
"10254","1312","Taux de saturation en oxygène","2","BILO2","5","Rouge","f","t","\N","30","243","pourcentage","DCE"
"10255","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","2","BILO2","1","Bleu","t","f","\N","3","175","milligramme d'oxygène par litre","DCE"
"10256","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","2","BILO2","2","Vert","t","f","3","6","175","milligramme d'oxygène par litre","DCE"
"10257","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","2","BILO2","3","Jaune","t","f","6","10","175","milligramme d'oxygène par litre","DCE"
"10258","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","2","BILO2","4","Orange","t","f","10","25","175","milligramme d'oxygène par litre","DCE"
"10259","1313","Demande Biochimique en oxygène en 5 jours (D.B.O.5)","2","BILO2","5","Rouge","t","f","25","\N","175","milligramme d'oxygène par litre","DCE"
"10260","1841","Carbone Organique","2","BILO2","1","Bleu","t","f","\N","5","162","milligramme par litre","DCE"
"10261","1841","Carbone Organique","2","BILO2","2","Vert","t","f","5","7","162","milligramme par litre","DCE"
"10262","1841","Carbone Organique","2","BILO2","3","Jaune","t","f","7","10","162","milligramme par litre","DCE"
"10263","1841","Carbone Organique","2","BILO2","4","Orange","t","f","10","15","162","milligramme par litre","DCE"
"10264","1841","Carbone Organique","2","BILO2","5","Rouge","t","f","15","\N","162","milligramme par litre","DCE"
"10265","1335","Ammonium","3","NUTRI","1","Bleu","t","f","\N","0.10000000000000001","162","milligramme par litre","DCE"
"10266","1335","Ammonium","3","NUTRI","2","Vert","t","f","0.10000000000000001","0.5","162","milligramme par litre","DCE"
"10267","1335","Ammonium","3","NUTRI","3","Jaune","t","f","0.5","2","162","milligramme par litre","DCE"
"10268","1335","Ammonium","3","NUTRI","4","Orange","t","f","2","5","162","milligramme par litre","DCE"
"10269","1335","Ammonium","3","NUTRI","5","Rouge","t","f","5","\N","162","milligramme par litre","DCE"
"10270","1339","Nitrites","3","NUTRI","1","Bleu","t","f","\N","0.10000000000000001","162","milligramme par litre","DCE"
"10271","1339","Nitrites","3","NUTRI","2","Vert","t","f","0.10000000000000001","0.29999999999999999","162","milligramme par litre","DCE"
"10272","1339","Nitrites","3","NUTRI","3","Jaune","t","f","0.29999999999999999","0.5","162","milligramme par litre","DCE"
"10273","1339","Nitrites","3","NUTRI","4","Orange","t","f","0.5","1","162","milligramme par litre","DCE"
"10274","1339","Nitrites","3","NUTRI","5","Rouge","t","f","1","\N","162","milligramme par litre","DCE"
"10275","1340","Nitrates","3","NUTRI","1","Bleu","t","f","\N","10","162","milligramme par litre","DCE"
"10276","1340","Nitrates","3","NUTRI","2","Vert","t","f","10","50","162","milligramme par litre","DCE"
"10277","1340","Nitrates","3","NUTRI","3","Jaune","t","f","50","\N","162","milligramme par litre","DCE"
"10278","1433","Orthophosphates (PO4)","3","NUTRI","1","Bleu","t","f","\N","0.10000000000000001","162","milligramme par litre","DCE"
"10279","1433","Orthophosphates (PO4)","3","NUTRI","2","Vert","t","f","0.10000000000000001","0.5","162","milligramme par litre","DCE"
"10280","1433","Orthophosphates (PO4)","3","NUTRI","3","Jaune","t","f","0.5","1","162","milligramme par litre","DCE"
"10281","1433","Orthophosphates (PO4)","3","NUTRI","4","Orange","t","f","1","2","162","milligramme par litre","DCE"
"10282","1433","Orthophosphates (PO4)","3","NUTRI","5","Rouge","t","f","2","\N","162","milligramme par litre","DCE"
