"id","nom_latin","taxon_parent_id"
327,Beraeidae,20545
212,Hydropsyche,211
1072,Dendrocoelum,1071
1064,Polycelis,1061
1044,Sphaerium,1042
6697,Fragilaria pinnata var. lancettula,20671
24226,Mysis,23826
6722,Fragilaria vaucheriae,9533
2012,Lampetra planeri,2010
292,Silo,286
8846,Nitzschia calida,9804
1043,Pisidium,1042
1579,Phragmites australis,1578
1037,Unionidae,4742
1691,Myosotis palustris,1688
2165,Gasterosteus aculeatus aculeatus,2164
1028,Ancylus,1009
999,Lymnaea,998
2221,Salmo trutta fario,2219
1466,Carex,1465
978,Potamopyrgus,973
906,Hydracarina,3324
1873,Rumex hydrolapathum,1870
1791,Mentha aquatica,1790
967,Theodoxus,966
2080,Cottus gobio,2079
753,Tipulidae,20549
7082,Amphipleura rutilans,9403
933,Oligochaeta,3327
6690,Fragilaria nanana,9533
518,Haliplus,517
502,Ephemera,23093
929,Erpobdella,928
919,Piscicola,918
892,Gammarus,887
6864,Achnanthes biasolettiana var. biasolettiana,9354
6904,Achnanthes exilis,9354
6991,Achnanthes minutissima var. saprophila,6982
3135,Arthropoda,5217
3075,Code gelé en 2005 (pisidiidae),3074
7630,Gomphonema angustum,8781
7709,Gomphonema parvulum var. parvulum fo. saprophilum,8781
7900,Navicula digitoradiata,9430
7924,Navicula exilis,9430
7997,Navicula laterostrata,9402
8066,Navicula phyllepta,9430
8119,Navicula rhynchocephala,9430
8893,Nitzschia fonticola var. pelagica,8891
8898,Nitzschia frustulum var. bulnheimiana,9368
9067,Nitzschia tubicola,9804
8384,Placoneis clementioides,9380
6749,Protoraphis hustedtiana,9564
9546,Synedra radians,9547
11303,Achnanthidium zhakovschikovii,9356
12101,Cyclotella polymorpha,9508
13128,Encyonopsis subminuta,9450
14406,Hippodonta ruthnielseniae,9424
16487,Nitzschia soratensis,9804
17449,Planothidium reichardtii,9360
17479,Planothidium minutissimum,9360
17926,Placoneis symmetrica,9380
9380,Placoneis,4856
20685,Diadesmis gallica var. perpusilla,7388
20731,Nebrioporus,20384
10676,Eolimna subminuscula abnormal form,9420
8648,Cyclotella stelligera,9508
27445,Achnanthidium druartii,9356
941,Aphanoneura,3327
191,Agapetus,9812
281,Anabolia,3162
364,Baetis,363
311,Athripsodes,310
838,Athericidae,20574
721,Aphelocheirus,720
221,Cheumatopsyche,211
383,Centroptilum,363
650,Calopteryx,649
457,Caenis,456
766,Dactylolabis,20358
1056,Dugesia,1055
614,Elmidae,3119
618,Elmis,614
450,Ephemerella,449
619,Esolus,614
912,Helobdella,908
235,Holocentropus,223
241,Lype,238
623,Limnius,614
319,Leptocerus,23075
200,Hydroptila,23060
312,Mystacides,23075
344,Molannidae,20713
625,Riolus,614
888,Echinogammarus,887
881,Asellus,880
870,Orconectes,2024
831,Empididae,746
807,Chironomidae,746
2555,Elmis obscura,618
658,Coenagrionidae,9785
1004,Radix,998
231,Polycentropus,23074
994,Bithynia,993
17281,Planothidium granum,9360
24941,Nitzschia costei,9804
14885,Nitzschia amphioxoides,9804
7159,Brachysira neoexilis,9409
17865,Pseudostaurosira perminuta,9542
17876,Pseudostaurosira subsalina,9542
997,Physa lato-sensu,995
19280,Physella,997
30103,Physa stricto-sensu,997
5218,Agapetus-synagapetus,9812
992,Bythinella,973
1077,Hydra,1076
9047,Nitzschia subtilis,9804
8516,Surirella ovata,9468
18062,Puncticulata praetermissa,9509
314,Triaenodes,24007
18893,Stauroneis separanda,9447
972,Valvata,971
909,Glossiphonia,908
7457,Epithemia adnata,9455
211,Hydropsychidae,20385
1089,Nematoda,3111
1041,Unio,1037
883,Proasellus,880
1024,Planorbis,1009
1015,Gyraulus,1009
1011,Bathyomphalus,1009
7779,Luticola cohnii,9413
824,Stratiomyidae,746
819,Ceratopogonidae,746
783,Psychodidae,746
757,Limoniidae,20549
8566,Aulacoseira italica,9476
8576,Aulacoseira subarctica,9476
5196,Corixinae,709
7411,Diploneis parma,7417
3120,Drusinae,276
6704,Fragilaria radians,9533
3095,Fredericella,3094
7697,Gomphonema olivaceoides,8781
4210,Hemimysis anomala,4334
3163,Limnephilinae,276
3162,Limnephilini,3163
8000,Navicula leptostriata,9430
3157,Nehalennia speciosa,3158
8808,Nitzschia acicularioides,9804
8870,Nitzschia desertorum,9804
9010,Nitzschia pumila,9804
5194,Sphaeridiinae,571
3146,Stenophylacini-chaetopterygini,3163
8495,Surirella brightwellii var. brightwellii,9467
10111,Punctastriata,6598
11270,Aulacoseira pusilla,9476
11981,Caloneis lancettula,9417
12144,Eunotia subarcuatoides,7569
12327,Cyclostephanos tholiformis,9505
12334,Centric Diatoms,8760
13483,Fragilariforma constricta,9537
13649,Fallacia pygmaea ssp. subpygmaea,9444
14094,Gomphonema pala,8781
14098,Geissleria paludosa,9422
14137,Gomphonema parvulius,8781
15370,Navicula escambia,9430
16344,Navicula salinarum fo. capitata,9430
16755,Nitzschia wuellerstorfii,9804
8991,Nitzschia palea var. tenuirostris,8987
9035,Nitzschia solita,9804
13639,Fragilaria perminuta,9533
847,Anthomyidae,20718
18612,Staurosirella pinnata abnormal form,9545
20402,Sellaphora seminulum fo. teratogene,9445
320,Adicella,310
520,Brychius,517
1010,Anisus,1009
2657,Cordulia,690
2395,Colymbetinae,527
313,Ceraclea,310
635,Cyphon,634
5129,Elophila,2947
190,Glossosoma,20359
679,Gomphus,678
514,Gyrinus,512
608,Hydraena,607
2393,Hydroporinae,527
305,Lepidostoma,304
307,Lasiocephala,304
622,Oulimnius,614
339,Odontocerum,23082
32235,Abnormal diatom valve,6598
33830,Leuctra geniculata,69
1061,Planariidae,1054
2195,Sander lucioperca,5074
2099,Blicca bjoerkna,2098
2167,Pungitius pungitius,2166
2086,Abramis brama,2085
2071,Barbatula barbatula,5073
697,Libellula,20390
1038,Anodonta,1037
669,Aeshnidae,9787
979,Potamopyrgus antipodarum,978
666,Ischnura,22174
973,Hydrobiidae,22158
928,Erpobdellidae,23271
23202,Limnomysis,23826
7076,Achnanthidium minutissimum,9356
7268,Cymbella aspera,7368
918,Piscicolidae,3328
908,Glossiphoniidae,3328
844,Ephydridae,746
7948,Navicula gregaria,9430
1042,Sphaeriidae,5125
6714,Fragilaria tenera f. teratogene,9533
1017,Armiger crista,1016
31041,Squalius cephalus,31334
3168,Hydrozoa,1075
2067,Cobitis taenia,2066
1977,Berula erecta,1976
10592,Achnanthidium neomicrocephalum,9356
5261,Chara vulgaris,1121
27965,Eolimna utermoehlii,9420
1630,Spirodela polyrhiza,1629
1645,Potamogeton crispus,1639
1778,Myriophyllum spicatum,1775
2193,Perca fluviatilis,2192
2151,Esox lucius,2150
698,Orthetrum,696
1029,Ancylus fluviatilis,1028
8615,Cyclotella costei,9508
8442,Sellaphora laevissima,9445
3111,Nemathelmintha,5217
10878,Achnanthes fugei,9354
11507,Cymbopleura cuspidata,9472
11788,Cymbella excisiformis var. excisiformis,7368
11897,Craticula minusculoides,9446
12228,Craticula submolesta,9446
12370,Cymbella vulgata var. vulgata,7368
